subdir,filename,size,md5,sha256,internal_version
vision-v821/aiglass-ai,20260603143344_openwrt_v821_aiglass-ai.swu,26028544,7c63c6fb213192e09a43c3165ac73a19,69b39119bc0becfa5f270d8c4c14cc45ff71317f70ab89eae57a0996b3a17bf4,1.0.0.10.3.2604161510
vision-v821/aiglass-ai,20260603180432_openwrt_v821_aiglass-ai.swu,25254400,bfefc0dd8e40039b178abc878f107e2c,52c4e94dc5d66a81e23a472b4cd191baef230bda9d294643d52a2db34387b507,1.4.0.22.3.2606031721
vision-v821/aiglass-ai,20260605150607_openwrt_v821_aiglass-ai.swu,24961024,0e6b98d85fe46e4166a3f8df7fd5dbb2,d04012df1e92cb1a98e6e68d3dcdc6f51a03d9bc622058cff79ada1da796be72,1.0.0.5.3.2512301530
vision-v821/aiglass-ai,20260702201042_openwrt_v821_aiglass-ai.swu,25303040,804375b01e5a1baa2722fb46ba0cc71d,543b7558bdeffb243dfcebaadc04572dea7806b2a9e0805740f057315abd9888,1.4.0.21.3.2511220955
vision-v821/aiglass-ai,20260704112325_openwrt_v821_aiglass-ai.swu,24992256,1ef43c60b16efdd1c229a507e2da9f74,173c2bd5a1cdbb7f35706b73feee796308f711eb5c072806e48263eb8f568a78,1.2.0.19.3.2512082115
vision-v821/aiglass-ai,20260709172419_openwrt_v821_aiglass-ai.swu,7509126,ad80036af676c3384bf43344132c8028,d30c9264b622763cbefe54eb075e2cd2e21e6e9f43082f8e2df7b80ba0d62e1e,
vision-v821/aiglass-ai,20260721182507_openwrt_v821_aiglass-ai.swu,25025536,bb1648126bf47227a28986b4e6d32a5d,c88095a54a3f072bf9d57b335f529c1101c38acc12a5b2775305ba7bcd5f4bba,1.2.0.22.3.2607171030
vision-v821/aiglass-imx681-ab,20260311161942_openwrt_v821_aiglass_imx681-ab.swu,12525056,4310e4f1e028d2ddc47764f5be6a5622,8262f04b6d9593767480b4fd29b151be610470adacbf516acc84e192007b2cd3,
vision-v821/aiglass-imx681-ab,20260522183154_openwrt_v821_aiglass_imx681-ab.swu,12650496,9517f2ef2b46449e7fe5d9bf431c5872,2fcd123957de373310b272655fe9105f58cdaaa44c0334a57677f190c6bebf11,
vision-v821/aiglass-imx681-ab,20260604104412_openwrt_v821_aiglass_imx681-ab.swu,12654592,1da530ff5434d87b375b7d9443f84e59,b3d74d69ab457122b62b902bb4d47a57a5030b7a67dce0df2253d96c995195d8,
vision-v821/aiglass-imx681-ab,20260624181000_openwrt_v821_aiglass_imx681-ab.swu,12525568,f87e87cf3e404dda08fbe7b4e1af8c0a,1eb5bfb322f0cf1f3e45b802eab59f40b12df1fb6580cff549ac0d10fe235246,
vision-v821/aiglass-imx681-ab,20260723104821_openwrt_v821_aiglass_imx681-ab.swu,12526080,43fbcefc68a58efc114bf9d678b47942,0bdf899f78c4e990ebe602a8f2b86fc2ef0feac5143a3c99542643b9ca8cdf43,
vision-v821/aiglass-imx681-ab,20260729171342_openwrt_v821_aiglass_imx681-ab.swu,12642304,55a37be24be139433f45adc226acc8e0,9c4bbe5afedb0d46ae8484fd9e9f239f40838b2bf180af1437ac697ae84b7510,
vision-v821/aiglass-imx681-ai,20251226154557_openwrt_v821_aiglass_imx681-ai.swu,24868864,e1cb26a489ba15ad91e7440a821f4d7b,aac275d6d95124ddfae8f436cc52ea6ca1f4369765c0076203cb6e6807207e31,1.0.0.1.3.2512261515
vision-v821/aiglass-imx681-ai,20260303185021_openwrt_v821_aiglass_imx681-ai.swu,24881152,160f86b884f268d204c4ff264a6acd03,c68b80b87bc7d8dddf27752743b0e4a551f77e3b92f150b11daa45cf7ab71f6e,1.0.0.1.3.2601300930
vision-v821/aiglass-imx681-ai,20260312134609_openwrt_v821_aiglass_imx681-ai.swu,25042944,e094c9cdf2eda613888dd04773fb37eb,19a73a67afa54b832c9371faad2ad41975ea91d6369ae2e3a0fc43b29465f682,1.4.1.14.3.2603101600
vision-v821/aiglass-ab,20260810110212_openwrt_v821_aiglass-ab.swu,12631552,d2a53de4215fe6f9262cda89657d902c,e806b051ad11c1aa3fda5ceb6b6a8719a92034c3ccae195032cc71ce75db4067,2.4.2.22.3.2608071744
